"File Number","Explicit Connective","Arg1 Complete","Arg2 Complete","Explicit Sense1","Explicit Sense2"
"wsj_1331","because","The bankruptcy-court reorganization is being challenged before the Supreme Court by a dissident group of claimants","it places a cap on the total amount of money available to settle claims.","Contingency.Cause.Reason",""
"wsj_1331","while","Robins has been in proceedings under Chapter 11 of the U.S. Bankruptcy Code since August 1985; such proceedings give it protection from creditor lawsuits","it works out a plan for paying its debts.","Temporal.Synchronous",""
"wsj_1331","while","In a brief filed with the Supreme Court last week, Mr. Pretl criticizes the appeal for raising ""abstract"" and ""theoretical"" legal issues,","jeopardizing the proposed reorganization and the settlement payments to claimants.","Temporal.Synchronous",""
"wsj_1331","and","The Supreme Court is scheduled to consider the case Nov. 3","may issue a decision as early as Nov. 6.","Expansion.Conjunction",""
"wsj_1331","regardless of","Under Superfund, those who owned, generated or transported hazardous waste are liable for its cleanup,","whether their actions were legal at the time.","Comparison.Concession.Arg1-as-denier",""
"wsj_1331","by","In 1986 Congress strengthened the penalty","making it a felony.","Contingency.Purpose.Arg1-as-goal","Expansion.Manner.Arg2-as-manner"
"wsj_1331","by","Mr. Donohoo was convicted in Louisville late last month of violating Superfund","failing to report the release of asbestos into the environment from a building he was demolishing.","Contingency.Cause.Reason","Expansion.Manner.Arg2-as-manner"
"wsj_1331","because","The government sought a criminal penalty","""no cleanup is possible here.","Contingency.Cause.Reason",""
"wsj_1331","and","Wilmer Cutler's brief argues that there is no mandatory appellate review of capital sentences","that the inmate who filed the appeal lacks proper standing.","Expansion.Conjunction",""
"wsj_1331","because","The coupling of the law firm and the Washington Legal Foundation is odd also,","Wilmer Cutler was one of the firms singled out for criticism two years ago by the conservative legal group for displaying a liberal bias in its pro bono work.","Contingency.Cause.Reason",""
"wsj_1331","for","The coupling of the law firm and the Washington Legal Foundation is odd also, because Wilmer Cutler was one of the firms singled out for criticism two years ago by the conservative legal group","displaying a liberal bias in its pro bono work.","Contingency.Cause.Reason",""
"wsj_1331","for","""We give them a lot of credit","taking this case,"" says WLF's Alan Slobodin.","Contingency.Cause.Reason",""
"wsj_1331","although","The posters were sold for $1,300 to $6,000,","the government says they had a value of only $53 to $200 apiece.","Comparison.Concession.Arg2-as-denier",""
"wsj_1332","and","Westamerica has about $1.3 billion of assets","is the largest independent bank in northern California.","Expansion.Conjunction",""
"wsj_1332","since","Though the bank isn't performing as well as some of its competitors in the lucrative California market, its condition has improved","Mr. Decker took over.","Temporal.Asynchronous.Succession",""
"wsj_1332","because","Its stock also has risen lately,","it is considered a possible takeover candidate.","Contingency.Cause.Reason",""
"wsj_1332","before","Interstate banking is scheduled to begin in California in 1991, and larger California banks, such as Wells Fargo & Co., have been paying fat premiums to buy smaller banks to control markets","any out-of-state banks enter the fray.","Temporal.Asynchronous.Precedence",""
"wsj_1334","after","The financial-services firm, struggling since summer to avoid a bankruptcy-law filing","missing interest payments on about $1 billion of debt, will retain the right to regain the subsidiary.","Temporal.Asynchronous.Succession",""
"wsj_1334","only if","It said it will exercise that right","it sells substantially all of its other core businesses.","Contingency.Condition.Arg2-as-cond",""
"wsj_1334","and","Mr. Krat indicated that completion of the transaction could take several weeks,","it wasn't immediately clear what would happen to the broker-dealer subsidiary if Integrated files for bankruptcy-law protection in the meantime.","Expansion.Conjunction",""
"wsj_1334","if","Mr. Krat indicated that completion of the transaction could take several weeks, and it wasn't immediately clear what would happen to the broker-dealer subsidiary","Integrated files for bankruptcy-law protection in the meantime.","Contingency.Condition.Arg2-as-cond",""
"wsj_1334","even while","If Integrated regains the unit, it would receive any profit the unit reports,","the unit is independent.","Temporal.Synchronous","Comparison.Concession.Arg1-as-denier"
"wsj_1334","after","Integrated made its announcement","the market closed.","Temporal.Asynchronous.Succession",""
"wsj_1335","as","The dollar weakened in indecisive trading","foreign-exchange dealers awaited fresh economic news that they hope will jolt the U.S. unit out of its narrow ranges.","Temporal.Synchronous",""
"wsj_1335","if","Few market participants expect the U.S. unit to rally sharply on the news,","it turns out as expected.","Contingency.Condition.Arg2-as-cond",""
"wsj_1335","and","Many contend that the report may overstate the economy's health","predict the third-quarter figures may be the last vigorous statistics for some time to come.","Expansion.Conjunction",""
"wsj_1335","after","Analysts predict a 3.5% rise in the deflator,","climbing 4.6% in the second quarter.","Temporal.Asynchronous.Succession",""
"wsj_1337","with","Tokyo stocks closed firmer Monday,","the Nikkei index making its fifth consecutive daily gain.","Expansion.Level-of-detail.Arg2-as-detail",""
"wsj_1337","while","Stocks also rose in London,","the Frankfurt market was mixed.","Temporal.Synchronous","Comparison.Contrast"
"wsj_1337","with","But overall buying interest remained strong through Monday,","many observers saying they expect the Nikkei to continue with moderate gains this week.","Expansion.Conjunction",""
"wsj_1337","and","Teijin was up 15 at 936,","Kyowa Hakko gained 30 to 1,770.","Expansion.Conjunction",""
"wsj_1337","but","Limited volume ahead of the September trade data showed the market is nervous,","dealers added that the day's modest gains also signaled some support for London equities.","Comparison.Concession.Arg2-as-denier",""
"wsj_1337","with","Dealers, however, said forecasts are broadly divergent","estimates ranging between #1 billion and #2 billion.","Expansion.Level-of-detail.Arg2-as-detail",""
"wsj_1337","after","Lucas Industries, a British automotive and aerospace concern, rose 13 pence to 614 pence","it said its pretax profit for the year rose 28%.","Temporal.Asynchronous.Succession",""
"wsj_1337","after","Share prices on the Frankfurt stock exchange closed narrowly mixed in quiet dealings","recovering most of their early losses.","Temporal.Asynchronous.Succession",""
"wsj_1337","after","The DAX index eased 0.99 point to end at 1523.22","falling 5.5 points early in the session.","Temporal.Asynchronous.Succession",""
"wsj_1337","and","The market is still 4% short of its level before the plunge,","analysts aren't sure how long it will take until the DAX has closed that gap.","Expansion.Conjunction",""
"wsj_1337","until","The market is still 4% short of its level before the plunge, and analysts aren't sure how long it will take","the DAX has closed that gap.","Temporal.Asynchronous.Precedence",""
"wsj_1337","as","Banking stocks were the major gainers Monday amid hope that interest rates have peaked,","Deutsche Bank and Dresdner Bank added 4 marks each to 664 marks ($357) and 326 marks, respectively.","Temporal.Synchronous","Contingency.Cause+Belief.Reason+Belief"
"wsj_1337","as","Auto shares were mixed,","Daimler-Benz firmed 2 to 723, Bayerische Motoren Werke lost the same amount to 554, and Volkswagen inched down 1.4 to 451.6.","Temporal.Synchronous","Contingency.Cause+Belief.Reason+Belief"
"wsj_1337","and","Auto shares were mixed, as Daimler-Benz firmed 2 to 723, Bayerische Motoren Werke lost the same amount to 554,","Volkswagen inched down 1.4 to 451.6.","Expansion.Conjunction",""
"wsj_1337","and","Shares closed higher in Hong Kong, Singapore and Manila,","were lower in Sydney, Seoul and Taipei.","Expansion.Conjunction",""
"wsj_1339","but","The key U.S. and foreign annual interest rates below are a guide to general levels","don't always represent actual transactions.","Comparison.Concession.Arg2-as-denier",""
"wsj_1340","after","A number of major banks have posted big losses","sharply increasing loan-loss reserves.","Temporal.Asynchronous.Succession",""
"wsj_1341","but","Mr. Brooks declined to give his age,","he said his leaving is a normal retirement.","Comparison.Concession.Arg2-as-denier",""
"wsj_1341","before","Clairol, which makes hair and skin products, was a division of Bristol-Myers Co.","that company's merger with Squibb Corp.","Temporal.Asynchronous.Precedence",""
"wsj_1343","with","Construction of the 265,000-square-foot facility will begin next year,","production expected to start in late 1991.","Expansion.Conjunction",""
"wsj_1343","and","When fully operational, the Guadalajara factory will employ about 1,500 workers","have annual operating expenses of $5 million to $6 million.","Expansion.Conjunction",""
"wsj_1344","with","Profit after taxes and minority interests but before extraordinary items climbed 27% to #143.4 million from #112.5 million,","earnings per share rising to 85.1 pence ($1.35) from 79.4 pence ($1.26).","Expansion.Conjunction",""
"wsj_1346","after","Although Cummins's stock stumbled last month","the company projected a ""substantial"" third-period loss, the stock also fell $1.125 in composite New York Stock Exchange trading yesterday, to $51.75.","Temporal.Asynchronous.Succession",""
"wsj_1347","because","Neither suit lists specific dollar claims,","damage assessment hasn't yet been completed.","Contingency.Cause.Reason",""
"wsj_1347","when","The oil company claims that Alaskan officials prevented Exxon from spraying dispersant onto the almost 11 million gallons of oil dumped","one of its tankers ran into an underwater reef.","Temporal.Synchronous",""
"wsj_1347","because","Alaskan and Coast Guard officials say Exxon's charges aren't relevant","tests conducted during the first two days following the spill showed that the dispersant wasn't working anyway.","Contingency.Cause.Reason",""
"wsj_1347","when","Use of dispersants was approved","a test on the third day showed some positive results, officials said.","Temporal.Asynchronous.Succession","Contingency.Cause.Reason"
"wsj_1349","and","The House Appropriations Committee approved an estimated $2.85 billion in emergency funding to assist California's recovery from last week's earthquake","to extend further aid to East Coast victims of Hurricane Hugo.","Expansion.Conjunction",""
"wsj_1349","and","The package was termed excessive by the Bush administration, but it also provoked a struggle with influential California lawmakers who sought unsuccessfully to add nearly $1 billion more","waive current restrictions to expedite the distribution of funds.","Expansion.Conjunction",""
"wsj_1349","and","By a 26-7 margin, the committee scuttled the more expensive alternative,","the debate forced a strained confrontation between Appropriations Committee Chairman Jamie Whitten (D., Miss.) and his party's largest state delegation in the House.","Expansion.Conjunction",""
"wsj_1349","and","The measure is expected to come before the House today,","Congress is under pressure to complete action before midnight EDT tomorrow, when the current continuing resolution expires.","Expansion.Conjunction",""
"wsj_1349","and","A White House budget office analysis estimates that $500 million -- or half the level in the committee bill -- is needed for highway assistance to meet California's needs,","the administration rejects the notion that new appropriations are needed to finance disaster loans by the Small Business Administration.","Expansion.Conjunction",""
"wsj_1349","and","A master of pork-barrel politics, he had crafted the $2.85 billion package in vintage style and used the full force of his chairmanship to keep the proposal intact","dismiss any alternative.","Expansion.Conjunction",""
"wsj_1349","but","Mr. Whitten's package appears to accomplish this purpose,","the state faces more resistance in its bid for an extended waiver on having to put up any matching funds on repairs completed in the next six months.","Comparison.Concession.Arg2-as-denier",""
"wsj_1349","and","The California Democrat appeared embarrassed by provisions inserted on behalf of owners of private beaches in the Virgin Islands,","lumber interests sought to add another $100 million in federal aid to plant timber on private land in North and South Carolina.","Expansion.Conjunction",""
"wsj_1353","as","Shevardnadze said it took Gorbachev's government four years to determine that the station's location in Siberia violated the accord,","Western arms-control officials have long contended.","Comparison.Concession.Arg1-as-denier",""
"wsj_1353","or","Travelers crowded into subways, sat in traffic jams on major freeways","waited for buses in the rain, but the massive gridlock anticipated by officials in the San Francisco Bay area never materialized.","Expansion.Disjunction",""
"wsj_1353","but","Travelers crowded into subways, sat in traffic jams on major freeways or waited for buses in the rain,","the massive gridlock anticipated by officials in the San Francisco Bay area never materialized.","Comparison.Concession.Arg2-as-denier",""
"wsj_1353","and","Hungary declared itself a democracy","for the first time openly commemorated the anniversary of the 1956 anti-Stalinist uprising that was crushed by the Soviet Union.","Expansion.Conjunction",""
"wsj_1353","as","A crowd estimated at 100,000 held a torch-lit march through Budapest","Acting President Szuros delivered a nationally televised address rejecting communist dominance.","Temporal.Synchronous",""
"wsj_1353","and","About 200,000 East Germans marched in Leipzig","thousands more staged protests in three other cities in a fresh challenge to the Communist leadership to introduce democratic freedoms.","Expansion.Conjunction",""
"wsj_1353","in","About 200,000 East Germans marched in Leipzig and thousands more staged protests in three other cities","a fresh challenge to the Communist leadership to introduce democratic freedoms.","Contingency.Cause.Reason",""
"wsj_1353","because","The five astronauts returned to Earth about three hours early","high winds had been predicted at the landing site.","Contingency.Cause.Reason",""
"wsj_1353","and","Explosions shook a Phillips Petroleum Co. plastics plant near Pasadena, Texas, hurling debris","causing a fire visible from 10 miles away.","Expansion.Conjunction",""
"wsj_1353","and","More than 100 people were injured,","a number of workers were missing.","Expansion.Conjunction",""
"wsj_1353","after","The statement came","officials said Bush complained at a private meeting last week that a strict interpretation of a policy requires the U.S. to notify foreign dictators of certain coup plots.","Temporal.Asynchronous.Succession",""
"wsj_1353","after","Lebanon's Gen. Aoun placed Christian military forces on alert in case of renewed fighting with Syrian-backed Moslems","Lebanon's two main Shiite militias rejected an Arab-sponsored peace accord.","Temporal.Asynchronous.Succession",""
"wsj_1353","and","The plan, approved by lawmakers","rejected Sunday by Aoun, includes political changes aimed at ending the 14-year-old civil war.","Expansion.Conjunction",""
"wsj_1353","when","NATO defense ministers are expected to call for a reduction in nuclear forces in Europe","the alliance's nuclear planning group convenes a two-day session today in Portugal.","Temporal.Synchronous",""
"wsj_1353","but","Iran's President Rafsanjani offered to help gain freedom for Western hostages in Lebanon,","said the assistance was contingent on U.S. aid in resolving the cases of three Iranians kidnapped in Lebanon in 1982 or the release of frozen Iranian assets.","Comparison.Concession.Arg2-as-denier",""
"wsj_1353","after","Commonwealth leaders turned to issues ranging from drugs to the world economy","Zimbabwe's President Mugabe called Thatcher's views on South Africa ""despicable.""","Temporal.Asynchronous.Succession",""
"wsj_1355","because","Property Capital Trust said it dropped its plan to liquidate","it wasn't able to realize the value it had expected.","Contingency.Cause.Reason",""
"wsj_1355","and","It said it will buy back two million shares, or 18.4%, of the total outstanding,","continue operations buying and managing real estate.","Expansion.Conjunction",""
"wsj_1357","after","The California Student Aid Commission took the action Oct. 15","a government audit cited National Technical Schools for having courses too short to be eligible for the educational loan program and having a student drop-out rate far in excess of federal standards, and it alleged other serious violations of law and regulations.","Temporal.Asynchronous.Succession","Contingency.Cause.Reason"
"wsj_1357","and","The California Student Aid Commission took the action Oct. 15 after a government audit cited National Technical Schools for having courses too short to be eligible for the educational loan program","having a student drop-out rate far in excess of federal standards, and it alleged other serious violations of law and regulations.","Expansion.Conjunction",""
"wsj_1357","and","The California Student Aid Commission took the action Oct. 15 after a government audit cited National Technical Schools for having courses too short to be eligible for the educational loan program and having a student drop-out rate far in excess of federal standards,","it alleged other serious violations of law and regulations.","Expansion.Conjunction",""
"wsj_1359","after","Congress tightened auto safety standards for gray-market imports","U.S. auto dealers, including franchised foreign-car dealers, complained that they often were blamed when the second and third buyers of such vehicles found that the cars couldn't meet U.S. auto safety standards.","Temporal.Asynchronous.Succession",""
"wsj_1359","when","Congress tightened auto safety standards for gray-market imports after U.S. auto dealers, including franchised foreign-car dealers, complained that they often were blamed","the second and third buyers of such vehicles found that the cars couldn't meet U.S. auto safety standards.","Temporal.Asynchronous.Succession",""
"wsj_1362","but","Detrex is setting aside $3.1 million for the cleanup,","said the reserve reduced its quarterly income by only $1.9 million because of tax considerations.","Comparison.Concession.Arg2-as-denier",""
"wsj_1364","and","Stock prices fell","bonds rose as worries mounted about the economy and the junk bond market.","Expansion.Conjunction",""
"wsj_1364","as","Stock prices fell and bonds rose","worries mounted about the economy and the junk bond market.","Temporal.Synchronous",""
"wsj_1365","and","The Justice Department has revised certain internal guidelines","clarified others in a move that could restrict the use of criminal racketeering charges against white-collar defendants.","Expansion.Conjunction",""
"wsj_1365","if","In general, the thrust of the department's directive is to encourage prosecutors to limit pretrial asset seizures","there are less intrusive means of protecting assets the government may subsequently be able to seize after a conviction, Mr. Runkel said.","Contingency.Condition.Arg2-as-cond",""
"wsj_1366","and","Sen. Alan Cranston trekked over to the House side of Capitol Hill a few days ago","volunteered his testimony to fellow Democrat Rep. Henry Gonzalez.","Contingency.Purpose.Arg2-as-goal",""
"wsj_1366","by","Future witnesses include a former federal S&L regulator who has accused the five senators of attempting to ""subvert"" the regulatory process","intervening on behalf of Mr. Keating.","Expansion.Manner.Arg2-as-manner",""
"wsj_1366","and","Mr. Gonzalez is also a stickler for ethical standards who refuses to accept honorariums","who believes in conducting official business in the open.","Expansion.Conjunction",""
"wsj_1366","when","Early in his political career, as a city councilman in San Antonio, he walked out of a meeting","political supporters asked that the police chief be replaced, denouncing the closed-door affair publicly as a ""bat-roost meeting.""","Temporal.Asynchronous.Succession",""
"wsj_1366","after","As the principal regulator of the thrift industry, Mr. Wall delayed seizing Lincoln S&L for more than two years","his staff told him that the California thrift was insolvent and that potential losses to taxpayers were growing rapidly.","Temporal.Asynchronous.Succession",""
"wsj_1366","when","Rep. Gonzalez seems primed to lash out at Mr. Wall","hearings resume Thursday with testimony by two federal regulators from San Francisco, William Black and Mike Patriarca.","Temporal.Synchronous",""
"wsj_1366","and","""When I first got a glimpse at the witness list, I couldn't believe that they were going to go ahead","do this,"" says Michael Waldman, director of Congress Watch, a consumer group.","Contingency.Purpose.Arg2-as-goal",""
"wsj_1366","because","And a Democratic aide to a Banking Committee member remarks, ""I too am astounded by it,","Gonzalez has certainly placed a lot of Democratic senators in a very bad position.""","Contingency.Cause.Reason",""
"wsj_1366","and","Mr. Keating lives in Phoenix,","the California thrift's parent is an Ohio-chartered corporation with holdings in Michigan.","Expansion.Conjunction",""
"wsj_1366","and","""He's wise, he's good","I know he's an honest man,"" the Texan says.","Expansion.Conjunction",""
"wsj_1366","and","They were willing to trade important provisions in the bailout legislation to preserve Mr. Wall's job","to avoid a reconfirmation hearing in which he would be called upon to testify about Lincoln S&L.","Expansion.Conjunction",""
"wsj_1366","if","At the time, Mr. Gonzalez said several senators told him that they ""could get some roadblocks out of the way","there could be some understanding on Garn's insistence on Wall.""","Contingency.Condition.Arg2-as-cond",""
"wsj_1366","while","Mr. Keating raised $20,000 for Rep. Doug Barnard's 1986 re-election campaign","the Georgia Democrat was taking his side against regulators who wanted to curb risky investments and wholesale deposit brokering.","Temporal.Synchronous",""
"wsj_1366","when","He recently voted ""present""","the committee authorized a subpoena to compel Mr. Keating to testify, then changed his vote to yes.","Temporal.Synchronous",""
"wsj_1366","as","But the chairman's supporters have the upper hand","federal regulators press a $1.1 billion fraud suit against Mr. Keating and others.","Temporal.Synchronous",""
"wsj_1366","and","Rep. Jim Leach (R., Iowa) says the Lincoln S&L affair is ""the biggest bank heist in history,""","adds: ""The great question that remains to be resolved is whether we have a congressional Watergate in the making.""","Expansion.Conjunction",""
"wsj_1366","because","""I don't know whether it was done properly or not,","I'm not a lawyer,"" he said in a telephone interview yesterday.","Contingency.Cause.Reason",""
"wsj_1366","and","He has characterized the five senators' roles as ""tantamount to an attempt to subvert the . . . regulatory process,""","he isn't expected to back down even though the five senators have disputed his account of a 1987 meeting.","Expansion.Conjunction",""
"wsj_1366","even though","He has characterized the five senators' roles as ""tantamount to an attempt to subvert the . . . regulatory process,"" and he isn't expected to back down","the five senators have disputed his account of a 1987 meeting.","Comparison.Concession.Arg1-as-denier",""
"wsj_1367","but","They'd actually left the Soviet Union with $480,","during a stop in Italy Ms. Volokh dropped $80 on a black velvet suit.","Comparison.Concession.Arg2-as-denier",""
"wsj_1367","and","However, she remembers the lean years and recalls with relish wearing her first major American purchase -- that turban10 years later","having a Los Angeles boutique owner ask her if it was a Chanel.","Expansion.Conjunction",""
"wsj_1367","by","She keeps track of the rest of her hats","stapling Polaroid snapshots to the outside of each hatbox.","Contingency.Purpose.Arg1-as-goal","Expansion.Manner.Arg2-as-manner"
"wsj_1367","but","She has thrown extravagant soirees for crowds of people,","prefers more intimate gatherings.","Comparison.Concession.Arg2-as-denier",""
"wsj_1367","because","I like rather tea,","it is at the end of the day.""","Contingency.Cause.Reason",""
"wsj_1367","but","""It's supposed to be later","I just moved it.","Comparison.Concession.Arg2-as-denier",""
"wsj_1367","and","Guests bring movies on tape,","show their favorite three-to-five minute segments on the screen that unrolls from the ceiling of the Volokhs' art-nouveau library (""the pleasure dome"").","Contingency.Purpose.Arg2-as-goal",""
"wsj_1367","and","They eat ""sinful and sensual things"" --","explain their clips.","Expansion.Conjunction",""
"wsj_1367","only if","She was interested","she could guide it editorially as well.","Contingency.Condition.Arg2-as-cond",""
"wsj_1367","then","She'll think of an idea the editorial people think is impossible,","she'll have us make it work.""","Temporal.Asynchronous.Precedence",""
"wsj_1367","though","""I don't trust people who don't eat,"" said Ms. Volokh,","she herself stopped eating lunch a few years ago to drop 25 pounds.","Comparison.Concession.Arg2-as-denier",""
"wsj_1367","and","No one ever eats in their books","look at them. . . .","Expansion.Conjunction",""
"wsj_1367","with","In her cookbook, which Macmillan is bringing out in soft cover this month (","the blini recipe revised so it works), she introduces each chapter with appropriate quotations from Russian literature: Pushkin on blini, Goncharov on piroghi.","Expansion.Level-of-detail.Arg2-as-detail",""
"wsj_1367","so","In her cookbook, which Macmillan is bringing out in soft cover this month (with the blini recipe revised","it works), she introduces each chapter with appropriate quotations from Russian literature: Pushkin on blini, Goncharov on piroghi.","Contingency.Purpose.Arg2-as-goal",""
"wsj_1367","and","Amusing as she is,","frivolous as she can seem, this is a serious person with some difficult memories.","Expansion.Conjunction",""
"wsj_1367","when","One cannot imagine how you live","you live those double and triple lives.""","Temporal.Synchronous",""
"wsj_1367","and","Mr. Volokh was fired from his job,","had to endure hours of organized verbal abuse from his co-workers, accusations of sabotage and counterrevolutionary activities.","Expansion.Conjunction",""
"wsj_1367","but","Mr. Volokh soon found work in his field,","Ms. Volokh refused the obvious and available occupation-as translatorfor a Russian who spoke fluent English.","Comparison.Contrast",""
"wsj_1368","or","The plans have come under fire from Soviet environmentalists, and officials say many are likely to be scaled back","dropped.","Expansion.Disjunction",""
"wsj_1368","by","For political as well as economic reasons, U.S. companies are at the top of his priorities -- a point he underscored","spending two hours walking around the U.S. trade show last week.","Contingency.Purpose.Arg1-as-goal","Expansion.Manner.Arg2-as-manner"
"wsj_1371","and","The move will give Nuovo Banco a badly needed foreign presence,","make Credit Agricole the bank's largest shareholder.","Expansion.Conjunction",""
"wsj_1371","when","Nuovo Banco will become Italy's biggest private-sector bank","it completes its scheduled merger with Banca Cattolica del Venetoen by year end.","Temporal.Asynchronous.Succession",""
"wsj_1371","and","Since then, the bank has strengthened its Italian network,","has posted strong results.","Expansion.Conjunction",""
"wsj_1371","but","A company spokeswoman said the company hadn't decided what measures to take,","didn't rule out legal action.","Comparison.Concession.Arg2-as-denier",""
"wsj_1372","but","Qintex Australia hasn't disclosed its borrowings,","analysts estimate the company's debt at A$1.2 billion.","Comparison.Concession.Arg2-as-denier",""
"wsj_1372","but","He said the move will ""significantly reduce administrative and operating costs,""","he didn't provide details of the merger.","Comparison.Concession.Arg2-as-denier",""
"wsj_1372","after","The company's latest moves were disclosed","the Australian Stock Exchange suspended trading in shares of Qintex Australia and Qintex Ltd. because the companies hadn't answered an exchange inquiry about the extent of their loans, investments and deposits at Qintex Entertainment.","Temporal.Asynchronous.Succession",""
"wsj_1372","because","The company's latest moves were disclosed after the Australian Stock Exchange suspended trading in shares of Qintex Australia and Qintex Ltd.","the companies hadn't answered an exchange inquiry about the extent of their loans, investments and deposits at Qintex Entertainment.","Contingency.Cause.Reason",""
"wsj_1372","and","Mr. Skase's statement was addressed to the stock exchange","appeared to be a response to the inquiry.","Expansion.Conjunction",""
"wsj_1372","and","MGM/UA has sued Qintex Australia for breach of contract and fraud over the collapsed acquisition agreement,","Qintex Australia has threatened a countersuit.","Expansion.Conjunction",""
"wsj_1372","but","Mr. Skase said most of the money went to other parties for expenses such as rent and travel,","a smaller portion is owed to senior executives and others for management services.","Comparison.Concession.Arg2-as-denier",""
"wsj_1373","even when","TWO COMPANIES plan to market a new chip with ceramic circuits that store data","the power is off.","Temporal.Synchronous","Comparison.Concession.Arg1-as-denier"
"wsj_1373","if","Today's most widely used data-storing chips have ""volatile"" memories -- their data disappear","they aren't fed a steady diet of electricity, so they need external power supplies.","Contingency.Condition.Arg2-as-cond",""
"wsj_1373","so","Today's most widely used data-storing chips have ""volatile"" memories -- their data disappear if they aren't fed a steady diet of electricity,","they need external power supplies.","Contingency.Cause.Result",""
"wsj_1373","because","Developers caution that broad applications are several years away","the technology isn't fully refined.","Contingency.Cause.Reason",""
"wsj_1373","and","National says it agreed to acquire Krysalis's assets","will start shipping commercial quantities of its first chips, including a 4-kilobit memory, next year.","Expansion.Conjunction",""
"wsj_1373","because","In addition to not needing an outside power source, they are potentially cheaper to make","they require fewer manufacturing steps than conventional chips.","Contingency.Cause.Reason",""
"wsj_1373","because","Military buyers have shown interest, National says,","ferroelectric chips resist atomic radiation.","Contingency.Cause.Reason",""
"wsj_1373","because","And while today's non-volatile chips -- such as electronically erasable programmable read-only memory chips -- can't be used in a computer's central memory","they ""learn"" data slowly, ferroelectric chips accept data at very high speeds.","Contingency.Cause.Reason",""
"wsj_1373","without","Showing Up in Court","Being There","Comparison.Concession.Arg2-as-denier",""
"wsj_1373","without","AN AUSTIN, Texas, company plans to make it easy for you show up in court a thousand miles away","leaving town.","Comparison.Concession.Arg2-as-denier",""
"wsj_1373","when","But last year Hitachi Ltd. surprised Japan's electronics industry","it accused Korea's Samsung Electronics Co. of using Hitachi technology to make dynamic random-access memory chips.","Temporal.Synchronous",""
"wsj_1373","but","(A settlement was reached","wasn't made public.)","Comparison.Concession.Arg2-as-denier",""
"wsj_1373","after","Hitachi made the reverse-engineering charges in an amendment to a counterclaim filed in a federal district court in Texas","Motorola sued Hitachi for patent violation.","Temporal.Asynchronous.Succession",""
"wsj_1373","by","They mimic the brain","""looking"" at an image, extracting the fundamentals -- boundaries, corners and lines -- and translating them into computer data.","Contingency.Purpose.Arg1-as-goal","Expansion.Manner.Arg2-as-manner"
"wsj_1374","if","The company said earnings would have increased","it hadn't been actively repurchasing its shares, thus increasing its interest expense and reducing its interest income.","Contingency.Condition.Arg2-as-cond",""
"wsj_1374","and","The company said earnings would have increased if it hadn't been actively repurchasing its shares, thus increasing its interest expense","reducing its interest income.","Expansion.Conjunction",""
"wsj_1374","by","He said Tandy ""has done a decent job"" increasing sales","manufacturing computers for others and expanding sales of its Grid Systems Corp. subsidiary, which sells computers to bigger businesses, but ""it's not enough to offset the problems at Radio Shack.""","Contingency.Purpose.Arg1-as-goal","Expansion.Manner.Arg2-as-manner"
"wsj_1374","and","He said Tandy ""has done a decent job"" increasing sales by manufacturing computers for others","expanding sales of its Grid Systems Corp. subsidiary, which sells computers to bigger businesses, but ""it's not enough to offset the problems at Radio Shack.""","Expansion.Conjunction",""
"wsj_1374","but","He said Tandy ""has done a decent job"" increasing sales by manufacturing computers for others and expanding sales of its Grid Systems Corp. subsidiary, which sells computers to bigger businesses,","""it's not enough to offset the problems at Radio Shack.""","Comparison.Concession.Arg2-as-denier",""
"wsj_1374","and","Tandy has added several new products to that line, including a laptop computer priced around $1,000,","is focusing its advertising on the easy-to-use software that is packaged with its machines.","Expansion.Conjunction",""
"wsj_1375","because","He said Drexel -- the leading underwriter of high-risk junk bonds -- could no longer afford to sell any junk offerings if they might later become troubled","Drexel risked losing its highly lucrative junk franchise.","Contingency.Cause.Reason",""
"wsj_1375","and","""This is the worst shakeout ever in the junk market,","it could take years before it's over,"" says Mark Bachmann, a senior vice president at Standard & Poor's Corp., a credit rating company.","Expansion.Conjunction",""
"wsj_1375","before","""This is the worst shakeout ever in the junk market, and it could take years","it's over,"" says Mark Bachmann, a senior vice president at Standard & Poor's Corp., a credit rating company.","Temporal.Asynchronous.Precedence",""
"wsj_1375","as","The junk market, which mushroomed to $200 billion from less than $2 billion at the start of the decade, has been declining for months","issuers have stumbled under the weight of hefty interest payments.","Temporal.Synchronous",""
"wsj_1375","and","Campeau developed a cash squeeze that caused it to be tardy on some interest payments","to put its prestigious Bloomingdale's department store chain up for sale.","Expansion.Conjunction",""
"wsj_1375","as","At that point, the junk market went into a tailspin","buyers disappeared and investors tried to sell.","Temporal.Synchronous",""
"wsj_1375","while","In recent months, they say, there has been heavy selling of junk bonds by some of the market's traditional investors,","new buyers haven't materialized to replace them.","Expansion.Conjunction",""
"wsj_1375","as","Mutual funds have also been net sellers of junk bonds","junk's relatively poor performance and negative press coverage have produced ""above-normal"" redemptions by shareholders, Deltec said.","Temporal.Synchronous","Contingency.Cause.Reason"
"wsj_1375","because","And, Deltec said, buying has been severely reduced","savings and loans have been restricted in their junk purchases by recently passed congressional legislation.","Contingency.Cause.Reason",""
"wsj_1375","and","Ms. Minella and Ms. Strasser say they are managing their junk portfolios defensively, building cash","selectively upgrading the overall quality.","Expansion.Conjunction",""
"wsj_1375","and","""We certainly do have a lack of liquidity here,","it's something to be concerned about,"" says James A. Gregoire, a managing director.","Expansion.Conjunction",""
