id,dm1,dm2,sentence1,sentence2,Explicit Sense1,Implicit Sense1
1616,and,as a result,"Thus, in a civil case, a defendant may be called as a witness, he may be forced to testify or take the Fifth,",his taking of the Fifth may permit the drawing of an adverse inference against him in the civil matter.,Expansion.Conjunction,Contingency.Cause.Result
1617,but,instead,"Allowing the defendant to take the Fifth in a civil matter is not based on a constitutional right to refuse to testify where one's testimony harms him in the civil matter,",because the testimony in the civil matter could be unconstitutionally used against him in a subsequent criminal prosecution.,Comparison.Contrast,Expansion.Substitution.Arg2-as-subst
1618,and,specifically,"The subcommittee, Congress and the American public have every right to draw the adverse inference",to concur with Mr. Pierce's own belief that his testimony could help convict him of a crime.,Expansion.Conjunction,Expansion.Level-of-detail.Arg2-as-detail
1619,and,subsequently,"In academia, a so-called Friday the 13th effect has been set up",shot down by different professors.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
1620,and,afterward,Shearson's Mr. DaPuzzo said retail investors nervously sold stock Friday,never returned to bargain-hunt.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
1621,and,therefore,They could still panic,bail out of the market.,Expansion.Conjunction,Contingency.Cause.Result
1622,and,then,"""I was buying at the close (Friday)","I'll be buying again because I know we're getting good value,"" said Frederick A. Moran, president of Moran Asset Management Inc., Greenwich, Conn.",Expansion.Conjunction,Temporal.Asynchronous.Precedence
1623,and,therefore,"""The last crash taught institutional investors that they have to be long-term holders,","that they can't react to short-term events, good or bad,"" said Stephen L. Nesbitt, senior vice president for the pension consultants Wilshire Associates in Santa Monica, Calif.",Expansion.Conjunction,Contingency.Cause.Result
1624,and,as a result,"In its severest test, the $60 billion of portfolio insurance in effect in the 1987 crash didn't work, as stock buyers disappeared",stock and futures prices became disconnected.,Expansion.Conjunction,Contingency.Cause.Result
1625,and,yet,"""I'd like to see that initiative,",I haven't.,Expansion.Conjunction,Comparison.Concession.Arg2-as-denier
1626,and,as a result,"Then, as now, the budget debate was behind schedule",automatic spending cuts were within days of taking hold.,Expansion.Conjunction,Contingency.Cause.Result
1627,and,so,"""The market needs a strong signal that we're serious about deficit reduction,","the best way to do that is for the House of Representatives to strip their bill"" of similar provisions, Sen. Warren Rudman (R., N.H.). said yesterday.",Expansion.Conjunction,Contingency.Cause+Belief.Result+Belief
1628,and,specifically,"Small investors matched their big institutional brethren in anxiety over the weekend, but most seemed to be taking a philosophical approach",said they were resigned to riding out the latest storm in the stock market.,Expansion.Conjunction,Expansion.Level-of-detail.Arg2-as-detail
1629,and,instead,"Mrs. Crump said her Ashwood Investment Club's portfolio lost about one-third of its value following the Black Monday crash, ""but no one got discouraged,","we gained that back -- and more.""",Expansion.Conjunction,Expansion.Substitution.Arg2-as-subst
1630,and,later,Mr. Greenberg got out just before the 1987 crash,", to his regret, never went back even as the market soared.",Expansion.Conjunction,Temporal.Asynchronous.Precedence
1631,and,as a result,"International Business Machines Corp., analysts say, has been burned twice in trying to enter the laptop market",shows no signs of trying to get into notebooks anytime soon.,Expansion.Conjunction,Contingency.Cause.Result
1632,and,so,"""They've been looking to get their costs down,","this is a fairly sensible way to do it,"" he said.",Expansion.Conjunction,Contingency.Cause+Belief.Result+Belief
1633,and,so,"""I have every intention of making this the best possible show","having it run one hour is the best way to it,"" said Rod Perth, who was named vice president of late night entertainment in August.",Expansion.Conjunction,Contingency.Cause+Belief.Result+Belief
1634,and,in contrast,"""You will find the commodities off more than the others","the diversified companies about even or slightly better,"" says James Wilbur, a Smith Barney analyst.",Expansion.Conjunction,Comparison.Contrast
1635,and,in contrast,"""Auto prices had a big effect in the PPI,","at the CPI level they won't,"" he said.",Expansion.Conjunction,Comparison.Contrast
1636,and,thus,Assuming the stock market doesn't crash again,"completely discredit yuppies and trading rooms, American television audiences in a few months may be seeing Britain's concept of both.",Expansion.Conjunction,Contingency.Cause.Result
1637,and,as a result,"The trade figures turn out well,",all those recently unloaded bonds spurt in price.,Expansion.Conjunction,Contingency.Cause.Result
1638,and,then,"He takes his wash to the laundromat, where he meets a punky French girl who dupes him into providing a home for her pet piranha and then promptly steals his car",dumps it in Dieppe.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
1639,and,thus,"He said the assets to be sold would be ""non-insurance"" assets, including a beer company and a real estate firm,",wouldn't include any pieces of Farmers.,Expansion.Conjunction,Contingency.Cause.Result
1640,and,so,Lexus sales weren't available; the cars are imported,Toyota reports their sales only at month-end.,Expansion.Conjunction,Contingency.Cause.Result
1641,and,then,"Proposals for government-operated ""national service,"" like influenza, flare up from time to time, depress the resistance of the body politic, run their course,","seem to disappear, only to mutate and afflict public life anew.",Expansion.Conjunction,Temporal.Asynchronous.Precedence
1642,and,thus,"To the extent we lack manpower to staff menial jobs in hospitals, for example, we should raise pay, pursue labor-saving technology, or allow more legal immigration, rather than overpay high school graduates as short-term workers",cause resentment among permanent workers paid lesser amounts to do the same jobs.,Expansion.Conjunction,Contingency.Cause.Result
1643,and,as a result,"But they believe themselves to be serving,","they begin to respect themselves (and others), to take control of their lives, to think of the future.",Expansion.Conjunction,Contingency.Cause.Result
1644,and,then,The action was expected to begin with the opening of the New Zealand foreign exchange markets at 5 p.m. EST -- when stocks there plunged --,to continue as the trading day began later in the evening in Tokyo and through early this morning in Europe.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
1645,in order,thereby,Government officials tried throughout the weekend to render a business-as-usual appearance,to avoid any sense of panic.,Contingency.Purpose.Arg2-as-goal,Expansion.Manner.Arg1-as-manner
1646,and,then,"Even for people who expect a bear market in coming months -- and a sizable number of money managers and market pundits do -- the advice is: Wait for the market to bounce back,",sell shares gradually during rallies.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
1647,and,consequently,"As a result, Mr. Fleckenstein says, ""I think the ball game's over,""",investors are about to face a bear market.,Expansion.Conjunction,Contingency.Cause.Result
1648,and,as a result,"After reopening for about 15 minutes, the S&P index tumbled to its 30-point limit",the second freeze went into effect.,Expansion.Conjunction,Contingency.Cause.Result
1649,and,then,The process of post-crash reforms began with calls to remake the markets,wound up a year later with a series of rather technical adjustments.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
1650,and,then,"Arguing that the separate financial marketplaces acted as one,","concluding that the crash had ""raised the possibility of a full-scale financial system breakdown,"" the presidential task force called for establishing a super-regulator to oversee the markets, to make margins consistent across markets, to unify clearing systems and to install circuit breakers.",Expansion.Conjunction,Temporal.Asynchronous.Precedence
1651,and,then,"It all seemed innocent enough: Last April, one Steven B. Iken visited Justin Products Inc. here, identified himself as a potential customer",got the word on the little company's new cassette players for children.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
1652,and,so,"""The gist of this is that Justin knocked off the Sony line","Sony wants to stop it,"" says Lewis H. Eslinger, Sony's attorney, who previously guarded Rubik's Cube.",Expansion.Conjunction,Contingency.Cause.Result
1653,and,then,"At worst, he adds, ""They'd have to grind them all up","throw them away.""",Expansion.Conjunction,Temporal.Asynchronous.Precedence
1654,and,still,"""I made a similar line","I produced it cheaper,"" he says.",Expansion.Conjunction,Comparison.Concession.Arg2-as-denier
1655,and,then,"Mr. Kaye had sold Capetronic Inc., a Taiwan electronics maker,","retired, only to find he was bored.",Expansion.Conjunction,Temporal.Asynchronous.Precedence
1656,and,thereby,"Like many others, Mr. Kaye took notice in 1987 when Sony, in a classic example of market segmentation, changed the plastic skin and buttons on the famous Walkman line of portable audio equipment",created the My First Sony line for children.,Contingency.Purpose.Arg2-as-goal,Expansion.Manner.Arg1-as-manner
1657,and,as a result,"By last winter, Justin was showing prototypes at toy fairs in Hong Kong and New York --",Sony noticed.,Expansion.Conjunction,Contingency.Cause.Result
1658,and,so,"He adds: ""The junk market has witnessed some trouble",now some people think that if the equity market gets creamed that means the economy will be terrible and that's bad for junk.,Expansion.Conjunction,Contingency.Cause.Result
1659,and,as a result,"He adds: ""The junk market has witnessed some trouble and now some people think that if the equity market gets creamed that means the economy will be terrible",that's bad for junk.,Expansion.Conjunction,Contingency.Cause.Result
1660,and,thus,"So the UAL deal has problems,",the market loses 190 points.,Expansion.Conjunction,Contingency.Cause.Result
1661,and,thus,First came his predictable fusillade: He charged the Coalition of the Left and Progress had sold out its leftist tenets by collaborating in a right-wing plot aimed at ousting PASOK,thwarting the course of socialism in Greece.,Expansion.Conjunction,Contingency.Cause.Result
1662,and,then,Readers who pull off a piece of tape,"press a switch will hear a tiny -- but distinctly human-sounding -- voice announce, ""I am the talking chip,"" as it launches into a 15-second discourse on its own attributes.",Expansion.Conjunction,Temporal.Asynchronous.Precedence
1663,but,instead,The carnage among takeover stocks Friday doesn't mean the end of mega-mergers,"simply marks the start of a less ambitious game, Wall Street's big-time deal makers say.",Comparison.Contrast,Expansion.Substitution.Arg2-as-subst
1664,and,given that,"""I look at where deals can get done,"" he says, ""","they're not getting done"" at current prices.",Expansion.Conjunction,Contingency.Cause.Reason
1665,and,therefore,"However, they conceded that some potential bidders would rely on bank loans",would be hurt if the troubles of the UAL buy-out group signified a general unwillingness among banks to provide credit for debt-financed takeovers.,Expansion.Conjunction,Contingency.Cause.Result
1666,and,in particular,"The vacancy rate soared more than 20% in nearly every product category,",more than 30% of office space was vacant.,Expansion.Conjunction,Expansion.Instantiation.Arg2-as-instance
1667,and,thus,"Mr. Keating is currently the subject of a $1.1 billion federal anti-racketeering lawsuit accusing him of bleeding off assets of a California thrift he controlled, Lincoln Savings & Loan Association,",driving it into insolvency.,Expansion.Conjunction,Contingency.Cause.Result
1668,and,as a result,"According to notes taken by one of the participants at the meeting, the regulators said Lincoln was gambling dangerously with depositors' federally insured money","was ""a ticking time bomb.""",Expansion.Conjunction,Contingency.Cause.Result
1669,and,then,"Lincoln's parent company, American Continental Corp., entered bankruptcy-law proceedings this April 13,",regulators seized the thrift the next day.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
1670,and,then,"""He became very angry at that, left my office","told a number of people that I was a wimp,"" Sen. McCain recalls.",Expansion.Conjunction,Temporal.Asynchronous.Precedence
1671,and,as a result,Sen. Glenn said he had already made a complete disclosure of his role in the affair,"""I am completely satisfied to let this matter rest in the hands of the Senate Ethics Committee.""",Expansion.Conjunction,Contingency.Cause.Result
1672,and,then,The administration's position was outlined in a friend-of-the-court brief filed in one of three abortion cases the Supreme Court will hear argued,will decide this term.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
1673,and,so,"On the provisions of the Minnesota law, the Bush administration said that requiring that both parents be notified is a reasonable regulation,",that there is no need to have an alternative that allows minors to go to court for a judge's permission instead.,Expansion.Conjunction,Contingency.Cause.Result
1674,and,then,"Studios are ""powerless"" to get shows in prime-time lineups","keep them there long enough to go into lucrative rerun sales, he contends.",Expansion.Conjunction,Temporal.Asynchronous.Precedence
1675,and,as a result,"In his article, Mr. Holston, who was in Europe last week","unavailable, complained that the ""archaic restraints"" in fin-syn rules have ""contributed directly to the acquisition of the studios by non-U.S. enterprises.",Expansion.Conjunction,Contingency.Cause.Result
1676,and,in particular,Our bookings improved as the quarter progressed,September was especially good.,Expansion.Conjunction,Expansion.Instantiation.Arg2-as-instance
1677,and,as a result,"Under the laws of the land, the ANC remains an illegal organization,","its headquarters are still in Lusaka, Zambia.",Expansion.Conjunction,Contingency.Cause.Result
1678,and,yet,"""We want to see Nelson Mandela and all our comrades out of prison,",if we aren't disciplined we may not see them here with us.,Expansion.Conjunction,Comparison.Concession.Arg2-as-denier
1679,"obviously,","though,","This procedure may be used in any internal, preferably soft, tissue, but is most useful in breast tissue, lung tissue, prostate tissue, lymph gland tissue, etc.",treatment and diagnosis of breast tissue problems forms the central theme of the invention.,,
1680,"in sum,","however,","But don't think too much about that as yet, because it's apparently another vaps idea still in development.","the pm's bill is a miniscule aspect of constitutional reform, tailored to suit narrow unc interest.",,
1681,"in the meantime,","though,","His original Troquet is much-loved, though rumor has it he's sold the mothership in order to focus on a new project.","he's still running the convivial, no-reservations offshoot, la cantine du troquet.",,
1682,"in sum,","however,","Not all nutritionists are thrilled, especially if hummus contains canola or soybean oil, the use of which critics say is more about reducing costs than offering nutrition.",you could do much worse than a bowl of mashed chickpeas.,,
1683,"or,",conversely,"Since public prison guards are also private individuals until they sign an employment contract, why is one contract better than another?","perhaps all this has now established a duty of independent moral judgment for everyone, including public employees, thus making public punishment equally a ""private act""?",,
1684,"thus,","then,","So the maids went out, carrying a torch, and made the beds, to which a man-servant presently conducted the strangers.","did telemachus and pisistratus sleep there in the forecourt, while the son of atreus lay in an inner room with lovely helen by his side.",,
1685,on the other hand,"however,","As the chapter continues, we are introduced to early Protestant opposition to Socinianism, provoked by its challenges to core aspects of Reformed belief.","there were those who adopted socinus' doctrines as it spread across europe, particularly to germany and the united provinces.",,
1686,"clearly,","however,","And turntables and tape loops can be more concretely evocative than most other instruments, since they offer a direct path to other songs.",stelzer and talbot have no interest in using their instruments that way.,,
1687,"overall,","though,","The highlights can sometimes be missed between more grating moments, and this leads to the blemishes on this otherwise enjoyable record becoming a little more exasperating.","parallax is quite consistent, and its peaks tend to outweigh the troughs.",,
1688,by then,"however,","The Hyaks outscored the Pirates, 30-28, in the final two quarters.",the outcome was all but assured.,,
1689,"although,","in the end,","Jeff has everyone fill in the blank, ""the most annoying thing about ____ is ____.""","it didn't change anyone's vote, it gave us a foreshadowing of things to come, and a peek at how self-aware certain tribe members (edna!)",,
1690,"thereafter,","however,","In a compact between the two states, approved by U.S. Congress in 1834, New Jersey therefore agreed that New York would continue to have exclusive jurisdiction over the island.","the federal government expanded the island by landfill, so that it could accommodate the immigration station that opened in 1890 (and closed in november 1954).",,
1691,"third,","similarly,","If you had to compress your argument into one abstract-type paragraph, what would it look like?","perhaps you'd want to frame your argument (s) as testable hypotheses - e.g., h1, etc.",,
1692,by then,"however,","In fact, when a senior subordinate joined us, there was a revelation-that America was supplying Stinger missiles to the Mujahedeen-on which I should have jumped.",i was disoriented.,,
1693,because of that,and,"The plan is very much worth it, you get tons of food at every meal.","let's be honest, without that, most people wouldn't spend that much at disney.",,
1694,and,"besides,","Hey, how big a deal can criminal defense be?",he wants to try cases.,,
1695,by then,"though,","Finally, the tree has nothing left to give.","the boy is older, and needs little, just a place to sit and rest.",,
1696,"on the contrary,",therefore,"Otherwise, It's always caught up by what was done by others in the past.","it values speed and, above all, loss of memory.",,
1697,"in the end,","then,",You remember those?,that's what we got out of it.,,
1698,"though,","interestingly,","Almost 100% of liberals liked it, while over 90% of conservatives didn't.",a higher percentage of conservatives said they liked it than liberals who said they didn't.,,
1699,"clearly,","then,",Pope Benedict has said that the most effective case for Christianity comes through the lives of the saints and Christian art.,"we need to recall anew that beauty is not incidental, but essential, to the life and mission of the church.",,
1700,"now,","finally,",And my administration is in ongoing discussions with a number of other countries about the transfer of detainees to their soil for detention and rehabilitation.,there remains the question of detainees at guantanamo who cannot be prosecuted yet who pose a clear danger to the american people.,,
1701,"thus,","again,",Here the power of the law stops.,we have no coronation oath.,,
1702,"also,","ultimately,","The higher you scored in any category, the more your tastes were like mine in that category.","the categories theselves can be ranked in importance: eyes, mout...read more",,
1703,"overall,","however,","And from there, many of the other Facebook departments can do a better good job at integrating longitudinal data into their business processes.",facebook's feedback panel is a good first step in reversing possibly damaging user fatigue.,,
1704,"in contrast,","however,","Overall, bifidobacterial numbers were reduced in the elderly where two of four subjects had no detectable bifidobacteria, and one had low counts of Bif angulatum (log 10 7.5 g/faeces).",the remaining subject in this group had very high numbers of these organisms in faeces (bif angulatum 9.8; bif adolescentis 9.6; bif longum 9.2).,,
1705,"then,",and,"In his hazy immobilized state, the player sees an LCVP engulfed in flames with partially burning soldiers fleeing from it.","it's something that made this troper go ""holy shit"", a burning soldier walks calmly out of the ship and down the ramp, collapses to his knees, and falls down.",,
1706,"now,","however,",barack obama's presidency has become a feast of failures whose proliferation protects their author from close scrutiny of any one of them.,we can revisit one of the first and see it as a harbinger of progressivism's downward stumble to healthcare.gov.,,
1707,"third,",and,Why doesn't Operation Odd or Even activate in this situation?,"most counter-intuitive: when a monster with the elemental ability wins combat under the effects of hand to hand, elemental still activates if the winner has the dominant element.",,
1708,"eventually,","however,","I had too much work-related writing to do--who has time to throw a few words up online for, you know, just fun?",i started hungering for something else.,,
1709,"obviously,",and,"If everything had gone according to plan, we'd be in Stage Twenty already.",this is mostly my fault for barely replying my entire last semester and not moving things along during the semester before that.,,
1710,"second,",and,Stephanie and Alana sat on the.,victoria and marcia took the third.,,
1711,in other words,at the same time,"In another embodiment, the registration data relates to a new transaction card account for the consumer.","the consumer is ordering a contactless transaction card, the consumer is also requesting a new transaction card account with the payment server system.",,
1712,"hence,","also,","This is, probably, in chief part due to the broken nature of the land, affording diversified habitats, and to much of the coast being rocky.","i believe, it is that not many species have been brought from india.",,
1713,"ultimately,","though,","They also had an orange one and a pearlized gold dragon, both holding blue d20s.",i had to go with this one: a black mica dragon with a red scarab d20.,,
1714,"ultimately,","though,","His parsnip- and prosciutto-stuffed quail over wild greens delighted and surprised judges, who were expecting something Mexican from the Mexican master.","it was the quiet, methodical and mind-blowingly creative lo who beat out bayless by half a star.",,
1715,and,"anyway,","I'd like to tell you I'm not the kind of gal who has ordered a fried Twinkie after a particularly rough gig, but I'd be lying.",why not celebrate the glorious resilience of hostess brands?,,
1716,"or,",alternatively,"denunciations of the movement almost exclusively reference one of the two possible meanings of more's titular neologism, never the good place, eu-topia, but always the unviable no place, ou-topia.",they hinge on the undesirable failings of the society overviewed in book two.,,
1717,"in the end,","though,","That was, after all, an important theme in the recent proposal for the Malaysian-Australian OPV.","medium means limited resources, which have to be spent carefully.",,
1718,because of that,"though,",You're all very kind and supportive.,i feel an unsolicted yet 'keeping it clear' integrity need to reiterate i never claim to have this thing licked.,,
1719,"ultimately,","though,","with camacho in charge, who knows?","it's all up to adu, who has handled all the hype and criticism aimed at him with notable aplomb.",,
1720,"though,",and,I had never of Y.M.H.A.,hoped that it stood for 'young mens heathan association'.,,
1721,conversely,"however,","You might, several people got to go to them (Bar the OSM event, it was japan only).",several people did not.,,
1722,"still,","though,","You know, it's funny, you kill 1 or 2 hundred people, and suddenly you're the bad guy.",the legacy of charlie and his gang's brutal slaughters and other street crimes will always be remembered for what they were: not very nice.,,
1723,"in the meantime,","however,","""It is nonetheless important to appreciate that although it is difficult to study these phenomena, this does not mean that they are not important and certainly that they do not exist.""",owners will have to wait.,,
1724,"ultimately,","though,",The parts of happstack should be further modularized and generalized until they are not happstack specific.,there is a need for some glue code to bring all the pieces back together.,,
1725,"ultimately,","however,","i wanted to give it to one of the political depth charges i read this year - bacevich's the limits of power, sharlet's the family, chalmers johnson's nemesis.",they all padded their word counts with exhaustive details that showed the depth of their research but sacrificed the grace of their story.,,
1726,"interestingly,","however,","Rather, both zone1 and zone2 appeared to be at increased risk for symptoms.","headaches, chronic fatigue, allergies, and skin disorders were all more common in the 2 first zones as compared to zone3.",,
1727,"clearly,",therefore,"That is wholly contrary to clause 2 and also to the wishes of the Secretary of State that, irrespective of statutory requirements, consultation should be undertaken on all closures wherever practicable.","established procedures-presumably set up to avoid the position in which we now find ourselves, with all the ill feeling that it generates-have been flagrantly ignored.",,
1728,"clearly,","though,","This indicates not only a lack of homophobia, but a widespread assumption that anyone is willing to sleep with someone of the same sex.","caligulans are not all gay, as many are seen in heterosexual relationships.",,
1729,by then,"however,","In 1977, when Daood was attending a military high school in Pakistan, Alice took her son back to the U.S. to live in Philadelphia.",the teenaged daood was deeply immersed in pakistani politics and especially in islam.,,
1730,"meaning,",consequently,"From the games, I got the impression that there is only one of each Legendary.",that they can easily hold their own in battle and cannot be owned by trainers.,,
1731,conversely,"however,",Top journals repeatedly rejected articles that later on turned out to be scientific breakthroughs and even won the Nobel Prize.,"plagiarism, fraud and deception are hardly ever discovered in the peer review process (fröhlich 2007).",,
1732,"clearly,","then,","The Government has been curiously silent on the matter of co-operative approaches lately, engaged as it is on the ludicrous and hopeless task of trying to keep a dying system afloat.",we all need to disengage from any dealings with shareholder-owned companies and switch to co-ops.,,
1733,alternatively,"however,","the applications and pacs software are preferably stored in memory 21, as noted above.",applications may be stored on a floppy disk in disk drive 19 or a cd-rom in cd-rom drive 20.,,
1734,"or,","rather,","ty tashiro, discovery network's relationship expert and university of maryland professor, may not be a genie in a bottle - but he's here to grant you three wishes.",he wants to make sure you don't squander the three wishes you already have available to you.,,
1735,"regardless,","though,","Also, since there is one more level with which to play around, the base attack bonus could potentially be one point higher.","the level must be in a prestige class or rogue, otherwise there's an xp penalty applied.",,
1736,"third,",and,"at the very least, this book will be on my ""other readings"" list for us survey book reviews.","i noted this at the outset, michael kramer is a friend.",,
1737,because of that,and,"""You're just not sure what behavior is going to trigger a response, and they're just not truly domesticated like dogs,"" she says.","the gray area that hybrids fall in when it comes to rabies vaccinations, the shelter won't let kona be adopted by the general public.",,
1738,"similarly,",and,"The cooperating agents act autonomously, and may be simultaneously reasoning on different components of the managed system.","to make the system highly generic, the agents may be applied to different functional models within the fault management task, such as correlation of trouble reports, and test management.",,
1739,"obviously,","though,",But I had a feeling that he doesn't give any big chances to my staying.,mario will have the last word.,,
1740,but,"again,",This is when I was a kid.,you take something that's yours and you blow it up.,,
1741,because of this,and,"However, with his super-hearing, Superman picks up rumours spreading all over Capitol Hill that the President is actually missing and it's being covered up.","other circumstantial information, the man of steel comes to believe that he is the president, in his secret identity.",,
1742,"meantime,","though,","If they want allies outside of Israel, they will confine themselves to Afghanistan; if they conclude international opinion is a secondary matter, the sky's the limit.",strikes against iraq in the not too distant future seem almost inevitable.,,
1743,"overall,","however,","As a Catholic homeschooling mother of two, I feel it is important to acknowledge that Catholic homeschooling families can come in all shapes and sizes.","""stories for the homeschool heart"" is a great gift to the catholic homeschooling community and i thank armstrong and thomas for bringing it to fruition.",,
1744,because of this,and,"The missing code gave most developers on the device headaches simply because without this code, WiFi on custom ROMs (and even stock ones) was lousy (if functional at all).","all the issues generated from it, a petition was started about 7 months ago by xda member aj_2423.",,
1745,"now,","though,",More than I miss having earrings in the one extra hole in one ear and three extra holes in the other (to include one in the cartilage).,it's remarkable if i actually think to put in one pair of earrings.,,
1746,"although,","interestingly,",The 1-page US ad was focusing mostly on Korg's Professional Laboratory Systems (PLS) line of synthesizers.,the actual models of these synthesizers - the 3300 and 3100 (and possibly the 3200) - are not mentioned directly.,,
1747,"eventually,","however,","I only had about two hours, enough tokens for about 20 samples, and 72 possibilities.",i settled into a groove.,,
1748,"clearly,","then,","Further, in decisions involving fair trial the court was in favor of the prosecution 75%, and in favor of the defendant 25%.",the criminal defendant is at a distinct disadvantage in most criminal cases.,,
1749,"or,","rather,","We were totally this rambling last year, and remember, we were completely on the wrong track then.","we were on the right track, we were just drawing the wrong conclusions.",,
1750,"still,","though,","The absence of her distinctive dyed-blonde hair has been a central reason for the pregnancy rumors, and it appears that she is keeping with natural hair these days.",there's no concrete confirmation from either khalifa or rose.,,
1751,and,"finally,","""מה את עושה לי"" is referred to Soul, and we bring you a huge amount of Soul artists absolutely for free.",we have collected lyrics for this track and you can view it here as well.,,
1752,"finally,","however,","I could see that adult Patrick was potentially annoying in his self-absorption, but his wit prevented me from being annoyed with him, which I felt was a great authorial achievement.",the novel somehow felt to me strangely empty.,,
1753,accordingly,and,Now described in [IPFIX-IE-DOCTORS]; Section 6 has been updated.,a new section 7.3 gives iana considerations for this.,,
1754,"eventually,","however,",They were supported by then-Interior Secretary Bruce Babbitt.,u.s. district judge john jelderks found in favor of scientists who said there was no evidence tying the skeleton to modern indians.,,
1755,"luckily,","however,","Conceptually, this would seem to be the logical result of the interplay between FLSA § 216 (b) and Rule 68.",the relation back doctrine provides a mechanism to avoid this anomaly.,,
1756,"in the end,","though,","I am skeptical, but it is possible.",i don't think there is any original meaning or textual argument for chevron.,,
1757,"interestingly,","however,","in addition, placebo response rates in cb studies have been high (33.3% to 54.5%),10-12 and therefore these results could be due to the placebo effect.",the assessment of cogni- tive tasks was blinded and confirmed the positive open- label results.,,
1758,on the other hand,"though,","From what I've seen, the bio-dynamic system works.","because of the mysticism surrounding the various soil additives and preparations, it just turns me off.",,
1759,"so,","again,","SANDERS: Well, I think that in the middle of a recession, the idea of downsizing the postal service by 200,000 decent-paying jobs makes no sense at all.","we did not go as far as i would have liked, but we did save tens and tens of thousands of jobs.",,
1760,"again,","however,",It expressed clearly the real tension between minimising corruption in the short term and delivering longer-term development goals which are the raison d'être for UK development assistance.,icai missed an opportunity to explore the implications of those competing concerns.,,
1761,"clearly,","however,","One of the best things I read in there was an editorial (registration required) from Editor Marcy Magiera, who had this warning for studios:.",the studios have to manage this revenue stream as carefully as they do feature films or other genres.,,
1762,"basically,","though,","There is now a wide variety of media by which instructors can communicate with online students, or students can communicate with each other.",they fall into two categories: synchronous or asynchronous communication media.,,
1763,furthermore,but,"In order for evidence ""linking these Israelis to 9-11"" to become classified, the evidence has to have existed in the first place!","it must have been very, very serious stuff indeed.",,
1764,"again,","though,","Again, that's true.",the penalties and the ensuing kills are only part of the problem.,,
1765,"again,","however,","For example, the Ohio Education Association doesn't like it.",the idea just makes sense.,,
1766,"still,","though,","it narrowly misses out on a 10 for not being more original, but it's still a near-perfect fps worthy of a very high 9.",call of duty 4 is a resounding success.,,
1767,"again,","though,",It has been suggested Horncastle was a storage facility.,why the need for such strong walls?,,
1768,"now,",therefore,... task of keeping our country strong and safe.,"i, barack obama, president of the united states of america, by virtue of the authority...independence of the united states of america the two hundred and thirty-sixth.",,
1769,"ultimately,","though,","In past years, my year-end awards have been a purely solo enterprise, but this year I reached out to a group of 40 Middle East politics specialists for nominations.","what you'll find below are just my opinions: books and articles that i read and liked, on topics that i find interesting, evaluated by my own idiosyncratic criteria.",,
1770,"interestingly,","though,","Turns out, the ease of use issue was one of the barriers, but it wasn't the only one.","some of those other barriers seem to be falling now, due mostly to the new realities of software-as-a-service and mobile computing.",,
1771,"clearly,","however,","Following the SIDS protocol, this means that a 14- to 28-day rodent assay is in order.","such testing is completely unnecessary, inappropriate, and a violation of the mandate to avoid duplicative testing.",,
1772,"in the end,","however,",They are joined by many nations from Africa and Central Asia as well.,god himself will destroy the invaders old testament style.,,
1773,"eventually,",as if,"""The Piping Plover?""","to prove something, they settled on the john dory oyster bar.",,
1774,"hence,",and,Texas' top two running backs and more than half of its top-shelf wide receivers are not expected to meet NCAA requirements necessary to enroll at major colleges.,state top 100 lists of the state's premier recruits might also make good reference materials two years from now.,,
1775,"in the end,","however,","Facing unbeaten St. Anne in River Valley Conference play, it looked for a while like hosting Gardner-South Wilmington was going to be able to hang with the Cardinals.",st. anne was just not to be denied in a 53-42 decision over the locals.,,
1776,"although,","still,",He's great at comedic acting and this movie is most certainly proof of that!,he seems to be at ease in the parts of the movie where things get a little serious (although nothing can be too serious in this movie!),,
1777,"indeed,",but,"In domestic violence situations, no work plan (or personal development plan) needs to be in-place, and DV can be up to 20% of the case load.","i didn't say anything about ""welfare queens"".",,
1778,additionally,and,"For a moment, let us assume that markets are manipulated, controlled, maneuvered, and influenced.","supporting this thought, few serious investors doubt that entities as plunge protection teams et al exist.",,
1779,"or,","again,","Of course this is horribly unlikely because most sermons are useless tripe, but...you get the idea.","let's say you started to see that unbelief seemed more like kind of petulant, childish rebelliousness than an honest pursuit of truth.",,
1780,"although,",and,"When Trevor's statue is put up next to Tony's in Petco Park, he'll be forever frozen in time out of the stretch.","i'm no sculptor, but this statue seems like it'd be a prime candidate to fall over.",,
1781,"eventually,","though,",Some days I could barely bend over following three-hour sessions of pick-up basketball.,"after a few days, the pain would subside, and i was back to my regular slate of exercise and activities.",,
1782,"ultimately,","though,",Don't miss my cheesy UI mock-up on the third page.,"you should aim for whatever is comfortable for you to develop, and not let me make it into a big chore.",,
1783,because of this,"although,","I do not think I am any better than someone who has had an abortion, I simply feel that I am one of the lucky ones.","i hate the idea of terminations, i try my hardest not to be too judgemental regarding this issue.",,
