,sentence1,sentence2,dm1,dm2
502,"When the AND gate 60 produces the DATA MODE signal, the inverter 61 and OR gate 62 disable the AND gate 63, so the timer 56 begins to time its interval.",the oh and data mode signals energize an and gate 70 to enable an and gate 71 and related circuits to produce an answer back tone (abt).,simultaneously,"however,"
503,it is possible to maximize the absorption of the active material of medicinal plants to 100%.,: the active material in the healthy beehive product from beehive essence has more than 6 times the strength of the basic material.,"or,",in other words
504,"Thus, Bruegmann argues, sprawl does not exacerbate economic inequities, it mitigates them.",bruegmann undermines the strength of his arguments about the benefits of suburbs by expressing a total lack of concern for the fate of american cities.,"ultimately,","however,"
505,"we, living in the early twenty-first century, have the opportunity to see this prophecy being fulfilled in a way that earlier generations could not.","of the culture in which the gospel is preached and lived, christian families confront cultural challenges all the time.","regardless,","though,"
506,"That there aren't three divine beings, but just three modes of one being - the same thing in different form or manifestation.",that there is just one mode of three beings - different beings unified in thought and action.,"or,",conversely
507,"Where in the US because there's so many guns, people feel the need to have guns as a deterrent.","i may be talking out my arse/being overly general, i believe violent crime stats in the us tend to show that guns cause more trouble than they prevent.","though,",and
508,"I answer, The breath of his mouth supplies to him the place of all other weapons, as I have just now shown from Isaiah.","christ move not a finger, yet by his speaking he thunders awfully enough against his enemies, and destroys them by the rod of his mouth alone.","although,",therefore
509,In a previous post I discussed how every prime up to 43 was used to factor numbers in the gap of 33 composites between 1327 and 1361.,what we have is a gap as large as is potentially possible ie.,"clearly,","then,"
510,"A. I think Cursed adds a great deal of information that allows us to understand William better, and to understand Billy better, too.","i think the book is all about billy - perhaps even more so than his own two books, in a way.","ultimately,","though,"
511,"Such optical matching provides an additional benefit in that the display area of the ""stealth"" mirror generally does not reduce the viewing portion of the mirror element.","of the optical matching, the viewing portion is optimized to include substantially all the reflective surface of the mirror element.","rather,",as a result
512,"I know everyone does it, but I just prefer not to be caught at it.","this is embarrassing to even write down in this website, but it gives me a bit of a thrill when i think someone is watching me jerk off.","second,",and
513,The fact that people chose to increase storage capacity suggests its central function in mitigating environmental perturbation in the Southwest.,"increasing storage proved unsuccessful under prolonged conditions of water deficit, and people left tsegi canyon.","ultimately,","however,"
514,No doubt this is a very cool car...but it wouldn't work too good here in Houston.,this is not a green car.,"ultimately,","though,"
515,They'll remember the cowardice shown by the democrats in the wisconsin state house!,they'll remember -ssholes like you that defended them!,and,"finally,"
516,"I didn't know what to say--after all, it wasn't like I could just reply, ""Sorry you didn't get laid this weekend, Mom. ""","i gave a shrug and said, ""i reckon i'll go to bed--i got school tomorrow. ""","so,","instead,"
517,"it is likely that the very commonplace nature of these objects, as well as the gender bias of the chroniclers, rendered them all but invisible.",the culinary habits and subsistence practices of andean peoples were apparently of more interest.,"fortunately,","however,"
518,"WHEREAS, the United States Conference of Mayors unanimously passed a resolution in 2001 endorsing the development of a public awareness campaign to promote arts education; and.","be it resolved, that the united states conference of mayors specifically endorses the second phase of the - art.","now,",therefore
519,And to say that refined chemicals are necessarily bad implies we should stop drinking tap water and return as a society to drinking ground water instead.,i would say you did a very admirable job covering all of this.,"otherwise,","though,"
520,"in other embodiments, no x adsorber 18 may also be omitted.","additional exhaust treatment device (s) (e.g., no x adsorber (s), scr catalyst (s), and/or the like) may be added to the system.",conversely,for example
521,"You state that Wasteland has 400 movies, when they have 600 if not more.","this is one of the reasons i joined, they update 3 times a week.","also,",and
522,"When ""Make Do"" Won't Do Originally, SWAT officers bought their own arms.","as need arose and new products became available, the city began purchasing the tools of the trade-except for handguns.","eventually,","though,"
523,"It remains an elegant way to make any instrument, event, or musical creation you can imagine, all with a free tool.","a csound file can be baked right into an app for ios, if you so desire.",and,"now,"
524,"Sadly, we did not make a video of the Corona we purchased.",this gentleman from japan filmed his toddler making an automated beer run.,"luckily,","however,"
525,"Similarly, Wiesel's fulsome anger against Madoff is not meant to suggest that he wants to ""engage"" with Madoff in an effort to establish a better relationship with him.",the issue comes down to whether it is possible to set aside the fundamental emotional logic that underlies interpersonal relationships when dealing with god.,"ultimately,","then,"
526,USA opinion polls on health charities and animal research.,"the sponsor of this investigation was an organization which opposes animal experimentation, the physicians committee for responsible medicine (pcrm).","again,","though,"
527,"Just a thought, but likely most of the radiator shops are in the phone book or can be found online.",i do know how to do that research.,"obviously,",and
528,a seven member board of elected officials are tasked with overseeing these dollars and providing oversight.,it falls upon the citizenry to monitor the conduct and expenditures of public dollars and the quality of education being provided to children.,"ultimately,","however,"
529,There was a little too much sturm and drang in the vocal performance for my taste.,the singer's repertoire didn't quite make sense in the context; lighter cabaret fare would have worked better.,"or,","rather,"
530,We need not give up on the historic alliance between Unions and the Middle East's only democracy.,which way the unions go will depend on how well advocates for israel connect her core values with those of organized labors' card-carrying constituency.,"ultimately,","however,"
531,"This may be easier to see with the dot product of vectors, but we will leave that topic for another day.","please note that unlike matrix addition and subtraction, in matrix multiplication we do not just multiply element by element.","specifically,","however,"
532,It should be noted that the signal referred to corresponds to a level stored digitally from a prior frame (SN) at the same array location (H and V).,"gate 34 enables the new selected focus level from converter 31 to be entered into focus level memory 29, replacing the old level.",simultaneously,and
533,"There are, therefore, black truths, white truths, rich truths, poor truths, male truths, female truths.","since men do not get pregnant, they cannot morally judge abortion.",accordingly,for example
534,"On the right side of the page there are eight o the most camcorders with a picture, the name, and price of each in relatively small boxes.",you may only be looking for a camcorder in a particular price range.,alternatively,for instance
535,It should be noted that no significant glitches occurred over the ensuing two hours and 50 minutes.,the department of lucidity has not been in the building in quite a while.,"clearly,","though,"
536,"I'm seeing this constantly, and it's annoying as hell.",i could understand getting kind of annoyed by the initial response.,but,"again,"
537,"Jessica was reminded of this last week, after she tweeted out an interesting study on math education.","she tweeted out what looked like an interesting study on math education, based on an abstract that someone else had tweeted out.","or,","rather,"
538,"see bryan at hot air, who notes that this is ""a reversal in the way the two parties tend to think and choose their respective leader"".",i really hope this isn't a new trend.,"indeed,",and
539,"What MyKey does now is just a start, says Jim Buczkowski, Ford's global director of electronics systems: ""Imagine what you could do with GPS worked in.""","that instead of generic speed warning chimes, you might sound a chime when the car passes 55, 60, and 65 mph on a 55 mph highway.","meaning,",for instance
540,And this is indeed how it frequently presents itself.,"in the commission's review of its activities in 2008, its then chairman sir christopher meyer described it as a 'mediation service'.","thus,",for example
541,"Rosholt, a UFC vet and former NCAA Division I national wrestling champion, scored takedowns with ease while slicing and dicing his elbow's face with elbow strikes.",rosholt connected with an illegal knee to ott's badly bloodied face while the fighter still had a knee planted on the canvas.,"ultimately,","though,"
542,An EU fact-finding mission returned from Turkey in September and concluded that Ankara is seriously pursuing its policy of zero tolerance on torture.,"the mission reported that ""numerous cases"" of torture and ill treatment of detainees still occur.","again,","however,"
543,"On the other hand, so called positive rights cannot be advocated for all.",hillary clinton's defense of the right to health care applied only to americans and not to human beings as such.,"so,",for example
544,"Taken as a unit, the stories form a cohesive plot.",they appear to set us up only to let us down.,"separately,","however,"
545,just try and avoid the more run down areas (especially parking your car) and you should be good.,don't leave any valuables in your car.,"regardless,","though,"
546,She couldn't think of another word for it.,"his voice seemed a little, off.","although,",at the same time
547,or sometimes both go quickly after breakfast and finish the laundry in an hour to come home for the grinding.,sometimes one of them stays home to cook while the other washes.,"or,","again,"
548,He was pretty popular with all his charts and his giant sucking sound.,he didn't really get many votes.,but,"in the end,"
549,"Whittingham pointed out several factors in the Utes' offensive struggles, but identified play calling as one culprit.","he acknowledged, and shouldered the blame for having not taken more shots down-field, especially with the success in the running game.","ultimately,","however,"
550,"""I could book a trip to Western Europe any day.""",gross decided to take the job in western europe.,"ultimately,","though,"
551,Raising the wage rate can only increase how much people are paid if there is more money to pay those wages.,increased wage rate will simply cause people to be dismissed.,"otherwise,",and
552,"Yes, even if you're a huge Jack Black fan.","perhaps i'm just being a mite oversensitive, isn't it usually considered poor taste for a white actor to dabble in broad, obvious, and unflattering caricatures of other cultures?","plus,",and
553,"Regarding conflict, the UNEP report is straightforward in admitting its limits.","these maps give valuable data on specific locations that are uniquely vulnerable to trends in population, climate, migration, and conflict.","ultimately,","however,"
554,"Not so long ago, investors only had a couple of viable choices for their investing dollars.","you can modernize your portfolio very simply, thanks to the boom in a relatively recent financial innovation: exchange-traded funds.","now,","though,"
555,I heard about Twilight from my friends and they kept telling me to read them because I'm such a book worm anyway.,i didn't have much all to do while being pregnant other then sleep: p my boyfriend suprised me with the hardback series and i started reading them right away.,and,"plus,"
556,Couldn't have said it better.,"she damns his body of work with the ultimate pejorative: ""that word is' kitsch.""'","ultimately,","though,"
557,It feels like the light has passed us by and may never shine on us again.,"(and sometimes very slowly) we emerge from the shadows into the light, and the warmth and brightness is so much richer because of the time spent in the shade.","eventually,","though,"
558,"It gives me this imagery of a person breaking down, like how your poem goes, and I think this is a good piece of work.","if these feelings are your own, then as stupid as it may be to someone who feels like this about life, i hope you'll get better.","although,",on the other hand
559,"When the Christian Heritage Party, a strongly conservative group, was established, Lee initially rejected it, believing that it was better to work from within the National Party.","when he lost his ministerial rank in a cabinet reshuffle, lee decided to leave national.","later,","however,"
560,The ultimate responsibility for the Iraq Attaq lies within the opaque psyches of George W. Bush and Dick Cheney.,the israel lobby was the main cheerleader.,"clearly,","however,"
561,"WHEREAS, it is desirable that this action be officially noted and formally recognized by Executive Order.","i pierre s. du pont, iv, governor of the state of delaware, do hereby declare and order as follows:.","now,",therefore
562,"That goal led to another, as Devin Shore sent a puck towards the net and Diamond tipped it in to tie the game.","it was another winless home night, as they game ended in a 2-2 tie.","ultimately,","however,"
563,These rings may contain pertrusions thereon to permit the aligning of holes to occur.,"there can be selected substrates with porous metal disks, or porous metal slots available from the mott metallurgical corporation.","specifically,",for example
564,"It all meant that 30 minutes passed before there was a proper opportunity, Stephan El Shaarawy spurning the chance after deceiving Jesús Gámez.",málaga sparked into life.,"then,","finally,"
565,And M.P.,this is noted with limca book of records.,simultaneously,and
566,Yet clearly the opinion as a whole interprets the statute to allow Butler County to direct Texas Gas to remove or reinforce its pipelines at Texas Gas's expense.,the opinion denies texas gas an injunction and thus permits the project to go forward.,"clearly,","also,"
567,He sat and answered our questions for at least a half hour.,"i went home with more questions than answers, if you know what i mean.","though,","in the end,"
568,"In the same way, Muhammad is fearless in his battles and leadership, and his Muslims must not disobey him.","he confuses the story of cain and abel, saying that god at that time instituted the death penalty.","third,","however,"
569,"The client-server model tried to intelligently balance the capabilities of intelligent local machines and the time-sharing model of centralized computing, storage and data manipulation.",many systems failed due to an inability to scale - transaction queuing and synchronization complexity proved too daunting.,"ultimately,","though,"
570,composing thousands of assessments can be a tough task.,i do not have to do it alone - i've my readers to aid me.,"luckily,","however,"
571,And again.,we were on top.,"then,","finally,"
572,They took it out of the business instead of paying their workers a living wage.,"that walmart executives are raking in the millions and the walton family's fortune is ballooning, walmart employees struggle to get by.","thus,",at the same time
573,"WHEREAS, the Company desires to employ the Employee and Employee desires to be employed by the Company on the terms set forth herein;.","in consideration of the mutual covenants and agreements set forth in this agreement, the company and the employee agree as follows:.","now,",therefore
574,"whereas, the delaware jaycees will assist in raising money through the sale of apple butter to the citizens of this state to support the fight against mental retardation;.","i, sherman w. tribbitt, governor of the state of delaware, do hereby proclaim the week of april 29, 1973, as.","now,",therefore
575,"Will the lives of this group of human beings be stultified, diminished, belittled, or circumscribed?","will they be expanded, encouraged, and enlivened?","or,",on the other hand
576,"Section 201 (g) NA and section 301 (g) INA (formerly section 301 (a) (7) INA) both specify that naturalization is ""the conferring of nationality of a state upon a person after birth. """,americans who acquired their citizenship by birth abroad to u.s. citizens are not considered naturalized citizens under either act.,"clearly,","then,"
577,"Turning from the budget to the economy, Treasury's estimate is that the floods will reduce gross domestic product by about 0.5 percentage points, with the effect concentrated in the March quarter.",the rebuilding effort - private as well as public - will add to gdp and probably largely offset the initial dip.,"thereafter,","however,"
578,"At the end of the day, I have to admit it, this movie was not really original but I still liked it.",it is one of these hyperlink tales where the characters are involved in some separate stories but they all con...read more.,"indeed,","basically,"
579,Will receive that respect once more when he has earned it.,he has earned ridicule and derision.,"now,","however,"
580,"Before the Romanticism of the early nineteenth century, the characters to be diagnosed seldom deviated far from normality and thus were little in need of lavish elucidation.",neurotics and psychotics began multiplying through a growing interest in extreme expressions of individuality.,"thereafter,","however,"
581,the group's two retail businesses - boots and alliance pharmacy - currently trade separately and the management has no intention of rushing the integration of the businesses.,"they will merge with all 2,000-plus uk stores trading under the boots name.","eventually,","however,"
582,"She said that they had gradually disappeared from the more civilised world since the discovery of vril, and the results attending that discovery had dispensed with their uses.","so far as the horse was concerned, this region was so rocky that a horse could have been, there, of little use either for pastime or burden.","indeed,","however,"
583,"To translate that, at the very least, you'd have to type everything into a translation engine.","with the ivy guide mini-translator, you can simply scan a word with a pen.","now,","however,"
584,"again, there is a terrible aamcness about ono's own cook.","thc music and stir going on around one avoid thc neces sity for much conversation, and con versation in tho home circle is some times difficult and sometimes dull.","then,","again,"
585,"The wholesale price index, as we saw, had remained practically unchanged between 1927 and 1929.",there were forces at work beneath the surface of a stable price level that were generating the conditions for a needed correction in the economy.,"clearly,","however,"
586,"Crook himself came down to Sonora, Mexico, where he discussed with Geronimo over two days, March 25-27, how he might peacefully surrender.",a local merchant provided the apaches with some mescal.,"meantime,","however,"
587,"On the plus side, at least The Understanding is better than Human After All, Daft Punk's new album.","we get proper full-length versions of ""it's like that,"" ""it's tricky,"" ""king of rock,"" ""mary mary,"" ""walk this way,"" and ""peter piper. ""","fortunately,","however,"
588,Hershey (NYSE: HSY) near $50 looks a lot more interesting than when it was hanging around $60.,"when you annuitize its current earnings at an equity rate of return, the extra you pay for assumed growth opportunities is large.","still,","though,"
589,"They avoid, therefore, to grant loans, unless for the purpose of facilitating exchanges.","to examining the operation of the system, it may be well to direct our attention to the circumstances of the parties with whom bankers have to deal.","previously,","however,"
590,It sort of fell into disrepair today are building it back up.,i don't think they are anywhere near where obama is yet.,"now,",but
591,"So, that's the objective.",in what forum do we do that?,"so,",therefore
592,The trend in the U.S. federal courts of late has been to defer broadly to the Government's authority in this realm.,"whether or not there is extensive judicial oversight, the united states must conform its actions with the international laws of war.","ultimately,","however,"
593,"Perhaps a more accurate sentence would have been ""boys do their share of the housework"".",some in the us aren't ready for the kind of gender equality that sweden has long been on the frontlines of promoting.,"clearly,","then,"
594,"WebFormatter then extracts predetermined data from the downloaded data based on the configuration information set in Optional dialog box 62, and stores the extracted data in memory 5.","if ""text only"" option 72 in options window 62 is on, only text is extracted from the downloaded data.","thus,",for example
595,"Now that you're all caught up, what I remember before that point of no return was that the XR1200 is unlike anything I've ever ridden on track before.","i mean it handles so nonchalantly, with no sense of urgency.","obviously,",but
596,Herbits flew to Australia last month to explain the reasons for the suit.,the australians only redoubled their opposition.,afterward,"however,"
597,The federal agency will be proposing new water quality reporting requirements for utilities this summer and plans to fund further research.,millions of americans are unaware of what their water utilities know: the levels of chlorination byproducts in their drinking water often spike higher than the epa's allowable annual average.,"meanwhile,","however,"
598,"We'll start calling P2P games ""box fee plus required monthly subscription along with optional microstransactions funded"".","i know this is crazy, we could just continue to call them exactly what they are, f2p, b2p and p2p.","or,",and
599,"With victory not yet secured here as the current score is 18-8, you still don't sense that they'll have too much trouble crossing the finish line.","with strong leads in poison rome, france 1789, archipelago, and the world 2.1 tiebreaker (among others), the victory should soon be wrapped up.",and,"indeed,"
600,"But he never mellowed, never backed down.",it was his time.,"now,","finally,"
601,He lost.,"i don't mean this as a pun, cutting my foot right out from under me.","basically,",and
602,"When they closed their doors, it was a surprise to us as well.",all but these last few shares were already gone.,"luckily,",by then
603,"There is something simply enchanting about Breen's prose that draws the reader in, even when asking oneself what the hell is going on.","the octoroon ball is worth the read, and the reread, just to stretch the boundaries of what is real, and what is more real.","ultimately,","however,"
604,"Gai has a few sponsors on board for the trip, and Dave McClure and Foundry Group's Brad Feld are also lending their support.",his approach to world startup report is diy.,"overall,","however,"
605,"However, as Liberal Burblings notes, the text of Cameron's speech does not support the Mail's interpretation of it.","how this relates to islam is obscure [update: although there is, of course, some hostility towards rowan williams in general for his views expressed in 2008 on shariah arbitration].","again,","though,"
606,Estes Park appears to be relatively well off and can afford to invest in its future.,some here are not relatively well off.,"yet,",at the same time
607,"There are other JRPGs on it that will most definitely warrant a purchase: Magna Carta 2, Lost Odyssey and Blue Dragon come to mind.","pardon the french, shut the fuck up already.","otherwise,",and
608,A bidder might like to be able to enter instructions:.,a bidder might like to be able to make his instructions opponent-specific:.,"or,",alternatively
609,"In particular, the electrode-side insulating film 43 may contain a saturated hydrocarbon containing at least one of a methyl group, an ethyl group, and a propyl group.",high insulating properties and high process adaptability can be obtained.,"thereby,","in particular,"
610,Results won't come overnight.,your child will notice a difference in muscle strength and endurance - which might fuel a fitness habit that lasts a lifetime.,"eventually,","however,"
611,"For some reason, he decides to play along with the expectations of his new family, and becomes a clean-cut boy and a model student.","the siren song of his father's less rigorous ways draws him, and the two are soon back together, listening to elvis records while lasse's father plays the harmonica.","eventually,","though,"
612,"Nancy, at one point, apologizes to Ana for using ""torture"" in reference to straightening her hair, when of course the word might pertain to something far more serious in Ana's homeland.","""living out"" more resolutely pursues the disturbing than funny consequences of these uneasy domestic alliances.","ultimately,","though,"
613,"so when maher challenges these people, he is implicitly urging that everyone, religious and irreligious, submit religions to critical scrutiny.","this relates to the first, maher (explicitly?)","second,",and
614,As part of the scheme you can move around on one to two year placement at various locations within BP in Europe.,"if you are not the travelling type you can simply stay at your ""home"" location and take different jobs at that location.",conversely,"though,"
615,hence many people need to have both 1.8 and 1.9 installed.,the suffix is one way to achieve this.,simultaneously,and
616,"consider now, as only a flavour, what the hadith says:.",of this militancy virtually every major muslim thinker from ibn taimiya to ibn khaldun to sayyid qutub has echoed and expounded this notion of jihad.,consequently,as a result
617,"Internally, the system maintains a base record defining the recurring ""To Do"" item.","the system also stores ""instance records"" for each particular instance of the ""to do"" task.",moreover,"however,"
618,She threatened to denounce Soman but was advised against it.,soman was discovered to have invented data and patients and left the country.,"eventually,","however,"
619,"""I was starting to get excited about starting over and figuring out what else I can do.""",she was able to return to the studio and finish what she had started.,"eventually,","though,"
620,"(As it stands, thirty other states have amended their constitutions to ban gay marriage.)",texans were hugely against gay marriage.,"clearly,","then,"
621,a lot.,"just as stephen wrote, everyone acted as if it were fine.",and,"indeed,"
622,Addition of anti-P-selectin to alpha (4) integrin Ab-treated mice blocked all remaining rolling at each time point.,alpha (4) integrin-mediated rolling appeared to be entirely dependent on p-selectin as anti-p-selectin alone was able to completely block all leukocyte rolling.,"interestingly,","however,"
623,"(I say mild- ish, of course, because I am a drama queen, and ALL my colds are terrible, life-threatening affairs.)","these repeated illnesses mean there is something very wrong with me, and i am probably going to die.","clearly,","then,"
624,"In addition, concerned individuals and agencies in both the public and private sectors have maintained strong working relationships in the interest of hospice care benefits.","i, george bush, president of the united states of america, do hereby proclaim november 1991 and november 1992 as national hospice month.","now,",therefore
625,"ok, i am a little.",i put that there so that first of all you know how to comment.,but,"also,"
626,I grew frantic in my desire to harness this inexhaustible energy but for a long time I was groping in the dark.,my endeavours crystallised in an invention which was to enable me to achieve what no other mortal ever attempted.,"finally,","however,"
627,By ensuring that they are a part of the process.,"as in the case of the library, making sure that the larger client group feels their needs are being heard and acted upon.",and,"also,"
628,"I'm incredibly thankful that at last, I know where I'm going with my life, that I have something to look forward to.",i haven't really been able to enjoy my last free summer at all.,and,"still,"
629,"""Education on how to ignore distractions and drive distraction free is what we should be focusing on.""",many people ignore potential harms.,"indeed,",but
630,"WHEREAS, the Standards of Accreditation affords the Board of Education the latitude to make adjustments to the manner in which calculations are performed in accrediting schools;.",be it resolved by the board of education that the scores of student involved in individual testing improprieties be excluded from the calculation of the school's accreditation rating.,"now,",therefore
631,"Another thing about birthdays up to a certain point is - sorry, a bit more maths - the older you get the closer your kids' ages to yours are proportionately.",this year my oldest son achieves half my age.,"so,",for instance
632,"WHEREAS, the Chief Financial Officer has certified that the funds are available for this contract.",be it resolved by the mayor and township committee of the township of montville in the county of morris and state of new jersey as follows:.,"now,",therefore
633,"No matter what people say, going to a top university does increase your odds of getting noticed.",my ubc degree didn't do much in that regard.,"interestingly,","though,"
634,"At Tuesday night's meeting the motion to OK the 2012 budget, along with the motion to approve the tax increase ordinance, was passed without further discussion or fanfare.",several council members had commented on the measure.,"previously,","however,"
635,Why people can't grasp this simple concept is beyond me.,"worst of all, more government in your daily life.","finally,",and
636,"Their every act is literally numbered, and those numbers-and, in a fan's eyes, the players themselves-are public property.",they owe us nothing beyond their best effort.,"ultimately,","though,"
637,"Even worse, the company shelved the entire project and chose not to publish the findings of its research!",there was one scientist from the graviola research team whose conscience wouldnt let him see such atrocity committed.,"luckily,","however,"
638,Cleaning the pool is a never ending battle because the pool is surrounded by all kinds of trees and stuff so leaves constantly fall from these trees into the pool.,"the work is pretty lax, but i stay busy throughout the day.","overall,","however,"
639,"But that doesn't count, because ""Obama's plans to expand government-paid health insurance might increase Medicare spending by aggravating medical inflation.""","expanding government insurance might decrease health care costs the way it does in, you know, pretty much every other liberal democracy.","or,",conversely
640,This approach was appropriate when the technical nature of the embedded system development had a relatively small software component.,"the availability of cheap, powerful, general-purpose microprocessors has moved software into a more critical role in the system design process.","now,","however,"
641,"Principally for them, of course.","all else being equal, they would rather that the usa thrive, than that it not.",but,"still,"
642,This system gave us half a century of relative financial stability.,the lessons of history were forgotten.,"eventually,","however,"
643,"A recurring theme in Samsung ads has been the absurdity of waiting in line for a smartphone, something which still happens with every iPhone launch.",wells argues that apple can reclaim momentum.,conversely,"however,"
644,"At first, Andrew Manson (Donat) is full of lofty goals as he labors in the slums of a mining town, struggling to save the miserable health of downtrodden workers.","his noble purpose slowly corrodes when he begins to treat aristocratic, wealthy london patients.","later,","though,"
645,America's Test Kitchen from Cook's Illustrated [#1217H] Backyard Chicken Dinner Test cook Julia Collin Davison uncovers the secrets to Grill-Smoked Chicken and serves it with Salt-Baked Potatoes.,equipment expert adam ried reveals his pick for the perfect cooler in the equipment corner.,and,"finally,"
646,"In fact, none of the ones you liked did; Mira and Visas did.",favourite characters are subjective.,"although,","again,"
647,"Their interleukin-6 levels reduced, and their cortisol levels decreased significantly compared to baseline, possibly suggesting that the volunteers were sleep-deprived before the study started.",their performance on the attention test didn't improve after recovery sleep.,"interestingly,","however,"
648,"Cover the mixing bowl with plastic wrap or a lid and allow to rest, covered for 15 minutes.",for the baking part.,and,"now,"
649,"The more intensive and extensive the range of these technologies becomes the more humans become capable of acting, but also, paradoxically, of being acted.","the image is always deviation, variation, difference.",simultaneously,"however,"
650,Maybe then the point will begin to stand out more starkly to you.,"too few reflect sufficiently on the significance of the fact that the living god of the bible has a personal name, and that this means something.","second,",because of this
651,Perhaps this is b/c many of the WS restaurants are not fully owned by Disney?,our server had experience with this type of situation.,"obviously,","though,"
652,"So, when a person is under the influence of say, hallucinogenic drugs their consciousness is not fully here in this physical reality of the C1 level.",this focus 22 is inhabited by those people who are in a coma or those who are very intoxicated.,"so,",therefore
653,"One of those is Fort Zachary Taylor Park, or Fort Zach, a Civil War-era fort that's also the best local beach for a morning swim.",we were just filling time before a leisurely afternoon-turned-evening at the hogfish bar & grill.,"ultimately,","though,"
654,"Jackson could never really get inside on Jones, and the champ's reach allowed him to pick apart the title challenger with punches, kicks and elbows from constantly changing angles.",he got the tap-out from a rear-naked choke in the fourth round.,"ultimately,","though,"
655,It makes you focus on your OWN project list and knock things off each day!,my own sweet boy got some embroidered play clothes just for him!,"so,","finally,"
656,These parents tell inspiring stories of rescuing children from prison-like orphanages; it seems heartless to criticize what they are doing.,foreign adoption does more harm than good.,"overall,","however,"
657,"we got minor problems fixed in opera and konqueror, mozilla is likely to improve soon, and the chrome nightly builds now have rfc 5987 support.","i'd like to make sure that people understand--julian has put in an exceptional effort here, and should be recognised for driving this to conclusion.","indeed,",and
658,"You're technically right, but hey, people are calling these toys drones so we'll go with that too if you don't mind.","the anura pocket drone packs a tiny low-res camera, is slightly larger than an iphone, and can fly for up to 16 minutes on a charge.","so,","anyway,"
659,The second one could be useful if you want to play with random numbers and md5/sha1.,i think uniqid () might already be what you are looking for.,"although,","again,"
660,I'm more excited about the possibilities than I've ever been.,"i'm about as disenchanted with the games ""scene"" as you can possibly be.",simultaneously,"though,"
661,"it's just a big idea at this point and bohn and his staff and the fundraisers at the cu foundation need to get regents, president, chancellor, faculty on board.","this is very important, this project will not get done without major contributions from the few big donors cu has.","plus,",and
662,It's a philosophy that Benitez also favours.,it is the juggling of those resources that could provide the biggest challenge in the second half of the season.,conversely,"though,"
663,"6,163,904, the contents of which are incorporated herein by reference.",the resting device 12 can have another design.,alternatively,for example
664,John Boehner said nothing about that.,what he said was a political message: you don't like what the obama folks are doing.,"so,","basically,"
665,"Noting that the phrase ""judicial murder"" generates certain problems in.",i use it with full consciousness of that fact.,"meaning,",but
666,"At first House Speaker John Boehner declared that House Republicans will not approve any tax increase as part of the need to retreat from the impending ""fiscal cliff.""","he said republicans are willing to accept ""new revenue,"" while indicating that doesn't mean higher tax rates.","later,","however,"
667,"It's evidence my son is neither damaged nor broken--he's an example of human variation, like any kid.",leo is not like most kids when it comes to specifics like talking and learning and tolerating crowds.,"though,","obviously,"
668,"They are an inevitable result of snowfalls and the salt and other substances used on roads, along with cycles of freezing and thawing.",this year will be worse.,"again,","however,"
669,"With this design, flow of the fluid from the fluid source to the nozzle causes the turbine to rotate and the power generator to generate electrical energy.",the power generator can include a solar panel or a water electrolysis unit that generates electrical energy.,alternatively,for example
670,"His career took him all over as he worked for fashion shows, news stations, extreme-makeover shows, and movies.",he opened jon richard salon and launched a line of styling products.,"eventually,","though,"
671,"Baez also claimed Casey's brother might be Caylee's father and that a meter reader who discovered the girl's remains may have moved them, more allegations that weren't substantiated.",the burden of proof wasn't on baez.,"ultimately,","though,"
672,"But who knows, maybe further Showtime experimentation with theater on TV may bring us even those goodies.","if you can find your way to a household paying its way for showtime, see ""the gin game. ""","meantime,","though,"
673,"She was 5-foot-2, 105 pounds, wearing a miniskirt and a halter top with a bare midriff.",there you go.,"now,","again,"
674,[0059] The dump frame 104 and dump frame actuator 128 are located within the width of the chassis 106.,either or both of the dump frame 104 and/or dump frame actuator 128 can be located outside the width of the chassis 106.,alternatively,"however,"
675,"Prior to MRS on a patient, the tissue is localized.","magnetic resonance images (mri) of the tissue, e.g., brain, breast, or bone, with axial, sagittal, and coronal t1 and t2 images are obtained with and without contrast.","thus,",for example
676,"At home and abroad, the United States has been, for over 50 years a strong voice in the fight against torture.","the cia's method has become so widely accepted that us interrogators seem unaware that they are, in fact, engaged in systematic torture.",simultaneously,"however,"
677,People who don't know how to properly wipe a phone might assume that middlemen like Mills will wipe the phone as part of the reselling process.,not every phone dealer is as honest as mills.,"clearly,","however,"
678,"Negative good will sounds silly I know, but it relates not to the absence of good will, but negative feelings.",british petroleum is in the process of developing enormous negative good will as a result of the oil spill in the gulf of mexico.,"so,",for example
679,A stunt?,one for a good cause: north pennine ferret welfare which combines the rescue of maltreated or unwanted pets with working to change the animals' somewhat iffy image.,"obviously,",but
680,But the child has really changed things.,it hasn't totally sunk in.,"clearly,","though,"
681,"Currently, it is difficult to obtain height information from a satellite.",trigonometric measurement based on aeronautical photographing or an infrared distance measuring apparatus is often used to obtain height data.,"hence,",for example
682,"There's total coordination at the intelligence level between the two forces, there's coordination at the operational level, at the strategic level, even at the tactical level.","we are working together, and when the situation arises, we need to pick the right decision to strike.","so,",therefore
683,"For awhile, soaking the wheel in water would cause the wooden wheel to swell out so that the rim would fit it snugly.",this just wouldn't work any more and the rim had to be tightened.,"eventually,","however,"
684,"He had paid visits to Mergatroyd, and Jeremiah had visited Bridlington; but as both were busy men, such visits had been short and few.","they saw little of each other,' their mutual friendship remained unimpaired.","though,","however,"
